name,brief_description,value,eligibility,deadline,field_of_study,application_instructions,official_scholarship_website,id,level
Roberto Rocca Fellowships for Doctoral Studies,"The Fellowships are open to citizens of Argentina, Colombia,  Brazil, Indonesia, Mexico, Romania and Venezuela who will enter a Ph.D. program in 2015 or who are already undertaking a Ph.D. at a university outside their own country. Fellowships are granted to students who will or are pursuing a Ph.D. in Materials Science, Mechanical, Metallurgical and Petroleum Engineering and whose research offers potential benefits to the steel industry. Applications open in mid-October for two months.",Varies,Foreign Citizen/Foreign National/International,December,Missing data,Self-Nominated,http://www.robertorocca.org/,PQAQ0oCDSLu,PhD
Roger M. Jones Fellowship Abroad (University of Michigan Fellowship),This annual Fellowship abroad provides a graduating UM engineering student the opportunity to study the humanities at a European university to broaden and deepen his or her previous education in the College of Engineering.,"Tuition, living expenses, & travel stipend",U.S. Citizen/U.S. National/Permanent Resident,November,Missing data,Self-Nominated,http://studentawards.engin.umich.edu/fellowship/,8Z0qzADRmTY,Missing data
Sandia National Laboratories Critical Skills Master's Program,The Critical Skills Master’s Program (CSMP) provides exceptional bachelor’s-level candidates with the opportunity to pursue a fully funded Master’s of Science degree. Successful applicants will become regular full-time Sandia employees and join multidisciplinary teams that are advancing the frontiers of science and technology to solve the world’s greatest challenges.,"A competitive salary while working full-time at Sandia
An annual stipend and regular employee benefits (except vacation accrual) while attending graduate school
Sandia-paid campus visit, tuition, and all tuition-related costs
Sandia-paid relocation to and from graduate school",U.S. Citizen,nan,Missing data,Self-Nominated,Missing data,d3QuCWfzJr5,Master's
Sandia National Laboratories Master's Fellowship Program,The Master's Fellowship Program (MFP) provides exceptional bachelor's-level minority candidates with the opportunity to receive fully funded master's of science degrees. Successful applicants will become regular full-time Sandia employees and will join multidisciplinary R&D teams that are advancing the frontiers of science and technology to solve the world's greatest challenges,"A competitive salary while working full-time at Sandia, an annual stipend and employee benefits (except vacation accrual) while attending graduate school",U.S. Citizen,nan,Missing data,Self-Nominated,http://www.sandia.gov/careers/special_programs/masters_fellowships_program.html,VUAXm9pCDBQ,Master's
"Sandia National Laboratories, President Harry S. Truman Fellowship in National Security Science and Engineering","The Fellowship provides the opportunity for recipients to pursue independent research of their own choosing that supports the national security mission of Sandia National Laboratories. The appointee is expected to foster creativity and to stimulate exploration of forefront science and technology and high-risk, potentially high-value R&D. Truman Fellowship candidates are expected to have solved a major scientific or engineering problem in their thesis work or will have provided a new approach or insight to a major problem, as evidenced by a recognized impact in their field.","$111,200 salary, as well as benefits (3-year commitment once PhD is secured)",U.S. Citizen,November,Missing data,Self-Nominated,http://www.sandia.gov/careers/students_postdocs/fellowships/truman_fellowship.html,YMZgSPGC54k,PhD/Postdoc
Schlanger Ocean Drilling Fellowship,Merit-based awards for outstanding graduate students to conduct research related to the Integrated Ocean Drilling Program.,"$30,000 annually",No specifications,nan,Missing data,Self-Nominated,http://iodp-usssp.org/research/schlanger-fellowships/,8W3pU8Ce1j0,Master's/PhD
Schlumberger Foundation Faculty for the Future,"The Schlumberger Foundation Faculty for the Future program supports outstanding women from developing countries in their pursuit of advanced graduate studies in engineering, science, and technology at leading universities worldwide. The program also has an extended mission to encourage community building through in-person forums, with the objective to create an international community of women leaders who will support scientific development and act as change agents in their home countries.","Up to $50,000 for Ph.D courses and a max of $40,000 for Post Doc",Foreign Citizen/Foreign National/International,November,Missing data,Self-Nominated,https://www.fftf.slb.com/,okz4rMJD2U6,PhD
Semiconductor Research Corporation (SRC) Graduate Fellowship Program,"The Graduate Fellowship Program (GFP) addresses the issues of improving educational opportunities at the doctoral level and supplying a relevantly educated work force for the semiconductor industry. The objectives of the program are 1) to encourage academically gifted U.S./permanent resident students to pursue doctoral degrees in research areas consistent with SRC goals, and 2) to develop a cadre of the highest quality doctoral graduates for SRC member companies and U.S. universities.","Full tuition and fees and a competitive stipend for up to five years of doctoral study. Fellowships also include an unrestricted annual gift of $2,000 for use by the student's faculty advisor in support of the student.",U.S. Citizen/Other Citizenship(s)/Political Specifier(s),February,Missing data,Self-Nominated,http://www.src.org/student-center/fellowship/,eNxyZJze7up,Master's/PhD
Sigma Xi Grants-in-Aid of Research Program (GIAR),The program encourages scientific excellence and achievement through hands-on learning.,"Up to $1,000",No specifications,March,Missing data,Self-Nominated,https://www.sigmaxi.org/programs/grants-in-aid,4NIuYXBPIex,Master's/PhD
Small Business Postdoctoral Research Diversity Fellowship,"The Small Business Postdoctoral Research Diversity Fellowship program aims to encourage creative and highly-trained recipients of doctoral degrees in NSF-supported science, technology, engineering and mathematical disciplines to engage in hands-on research projects in their areas of expertise at the kind of small innovative businesses that historically have fueled the nation’s economic regime.","$75,000 plus health insurance benefits",U.S. Citizen/U.S. National/Permanent Resident,nan,Missing data,Self-Nominated,https://nsfsbir.asee.org/,jf60Vjy4o4v,Postdoc
Society of Manufacturing Engineers (SME) Graduate Scholarships,Granted to full-time students who are in a graduate program with a manufacturing emphasis or industrial engineering.,Not listed,No specifications,February,Missing data,Self-Nominated,http://www.smeef.org/scholarships/graduate.asp,Gxae9ie8IXB,Master's/PhD
Society of Plastics Engineers (SPE) Scholarship Program,They offer a variety of scholarships to students who are interested in the plastics industry.,Varies,No specifications,April,Missing data,Self-Nominated,http://www.4spe.org/contentnorelated.aspx?ItemNumber=6514&navItemNumber=683,J629tvPsZvi,Master's/PhD
Society of Plastics Engineers (SPE) Scholarship Program Lew Erwin (Extrusion Division),PhD candidate or Senior/Masters research in polymer extrusion,Varies,No specifications,April,Missing data,Self-Nominated,http://leaders.4spe.org/forms/spe-foundation,2hlo4HCkIZl,Master's/PhD
Society of Women Engineers (SWE) Scholarships,"SWE Scholarships support women pursuing ABET-accredited bachelor or graduate student programs in preparation for careers in engineering, engineering technology and computer science in the United States. In 2015, SWE disbursed approximately 220 new and renewed scholarships valued at more than $660,000.","Varies, $1,000-14,500",No specifications,February,Missing data,Self-Nominated,"http://societyofwomenengineers.swe.org/scholarships"">Website</a>",VhKqE9AmiHX,Master's/PhD
Structural Engineering Institute (SEI) O.H. Ammann Research Fellowship,"The Ammann Research Fellowship is a society-wide competition for the purpose of encouraging the creation of new knowledge in the field of structural design and construction, renewable for up to two years.","At least $5,000",No specifications,November,Missing data,Self-Nominated,http://www.asce.org/structural-engineering/ammann-research-fellowship/,iKfsKXKFSv2,Master's/PhD
